#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
SPTpol_2015        ,          ,    1923.0 ,           ,     -10.5500 ,       4.1600 ,       4.1600 ,             
SPTpol_2015        ,          ,    1974.0 ,           ,     -14.4800 ,       3.9600 ,       3.9600 ,             
SPTpol_2015        ,          ,    2047.0 ,           ,     -15.3800 ,       2.4200 ,       2.4200 ,             
SPTpol_2015        ,          ,    2147.0 ,           ,      -2.7000 ,       1.9700 ,       1.9700 ,             
SPTpol_2015        ,          ,    2247.0 ,           ,      -4.6300 ,       1.9100 ,       1.9100 ,             
SPTpol_2015        ,          ,    2348.0 ,           ,      -8.5900 ,       1.6900 ,       1.6900 ,             
SPTpol_2015        ,          ,    2448.0 ,           ,      -1.0600 ,       1.5200 ,       1.5200 ,             
SPTpol_2015        ,          ,    2745.0 ,           ,      -3.0700 ,       0.5500 ,       0.5500 ,             
SPTpol_2015        ,          ,    3246.0 ,           ,      -0.5300 ,       0.4800 ,       0.4800 ,             
SPTpol_2015        ,          ,    3746.0 ,           ,      -0.1300 ,       0.5500 ,       0.5500 ,             
SPTpol_2015        ,          ,    4246.0 ,           ,       1.0500 ,       0.6900 ,       0.6900 ,             
SPTpol_2015        ,          ,    4747.0 ,           ,      -0.0700 ,       0.8300 ,       0.8300 ,             
WMAP_2013          ,          ,       4.5 ,           ,       2.6500 ,       1.1200 ,       1.1200 ,             
WMAP_2013          ,          ,      10.5 ,           ,       0.3100 ,       1.5500 ,       1.5500 ,             
WMAP_2013          ,          ,      17.0 ,           ,       2.1000 ,       1.7100 ,       1.7100 ,             
WMAP_2013          ,          ,      22.5 ,           ,      -4.2000 ,       2.6500 ,       2.6500 ,             
WMAP_2013          ,          ,      27.5 ,           ,       4.8200 ,       2.4700 ,       2.4700 ,             
WMAP_2013          ,          ,      33.5 ,           ,      -0.1000 ,       2.8600 ,       2.8600 ,             
WMAP_2013          ,          ,      40.5 ,           ,       2.5700 ,       2.8700 ,       2.8700 ,             
WMAP_2013          ,          ,      48.5 ,           ,      -3.5200 ,       3.3500 ,       3.3500 ,             
WMAP_2013          ,          ,      56.5 ,           ,       0.3300 ,       3.8600 ,       3.8600 ,             
WMAP_2013          ,          ,      65.5 ,           ,      -2.5300 ,       3.9900 ,       3.9900 ,             
WMAP_2013          ,          ,      76.0 ,           ,      -9.4100 ,       4.4500 ,       4.4500 ,             
WMAP_2013          ,          ,      87.0 ,           ,     -15.5400 ,       5.1900 ,       5.1900 ,             
WMAP_2013          ,          ,      98.5 ,           ,     -19.9900 ,       5.7700 ,       5.7700 ,             
