Measurements of the TE power spectrum, power is [l(l+1)]^2 C_l / 2pi in uK^2
 
   Experiment            l_center     TE    sigma_TE_minus  sigma_TE_plus
WMAP_2013                   65.5     -2.53        3.99          3.99
WMAP_2013                   76.0     -9.41        4.45          4.45
WMAP_2013                   87.0    -15.54        5.19          5.19
WMAP_2013                   98.5    -19.99        5.77          5.77
WMAP_2013                  111.0    -31.96        6.43          6.43
WMAP_2013                  125.0    -41.61        6.97          6.97
WMAP_2013                  140.0    -49.92        8.07          8.07
WMAP_2013                  155.5    -35.90        8.93          8.93
WMAP_2013                  172.5    -55.35        9.60          9.60
WMAP_2013                  191.0    -38.68       10.57         10.57
WMAP_2013                  210.5      1.06       11.52         11.52
WMAP_2013                  231.0     20.67       12.40         12.40
WMAP_2013                  253.5     58.98       12.59         12.59
WMAP_2013                  278.0     98.74       13.08         13.08
WMAP_2013                  304.0    103.60       12.96         12.96
WMAP_2013                  332.5    111.40       12.35         12.35
WMAP_2013                  363.5     67.59       12.03         12.03
WMAP_2013                  397.5      2.11       12.23         12.23
WMAP_2013                  436.0    -80.46       14.06         14.06
WMAP_2013                  479.5    -56.39       17.82         17.82
WMAP_2013                  529.0    -55.51       23.17         23.17
WMAP_2013                  587.5     41.87       28.08         28.08
WMAP_2013                  659.0   -103.25       37.05         37.05
WMAP_2013                  749.5   -130.91       59.51         59.51
WMAP_2013                  850.5     85.72      113.80        113.80
WMAP_2013                  950.5     88.49      206.32        206.32
