#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
SPTpol_2017        ,          ,    1024.5 ,           ,     -64.4000 ,       7.4000 ,       7.4000 ,             
SPTpol_2017        ,          ,    1074.5 ,           ,     -69.7000 ,       6.4000 ,       6.4000 ,             
SPTpol_2017        ,          ,    1124.5 ,           ,     -49.2000 ,       5.0000 ,       5.0000 ,             
SPTpol_2017        ,          ,    1174.5 ,           ,     -14.7000 ,       4.0000 ,       4.0000 ,             
SPTpol_2017        ,          ,    1224.5 ,           ,      12.5000 ,       4.3000 ,       4.3000 ,             
SPTpol_2017        ,          ,    1274.5 ,           ,     -19.0000 ,       4.4000 ,       4.4000 ,             
SPTpol_2017        ,          ,    1324.5 ,           ,     -46.8000 ,       4.7000 ,       4.7000 ,             
SPTpol_2017        ,          ,    1374.5 ,           ,     -54.8000 ,       4.0000 ,       4.0000 ,             
SPTpol_2017        ,          ,    1424.5 ,           ,     -39.3000 ,       3.4000 ,       3.4000 ,             
SPTpol_2017        ,          ,    1474.5 ,           ,     -10.8000 ,       2.9000 ,       2.9000 ,             
SPTpol_2017        ,          ,    1524.5 ,           ,       4.3000 ,       2.8000 ,       2.8000 ,             
SPTpol_2017        ,          ,    1574.5 ,           ,       4.3000 ,       2.5000 ,       2.5000 ,             
SPTpol_2017        ,          ,    1624.4 ,           ,     -13.7000 ,       2.8000 ,       2.8000 ,             
SPTpol_2017        ,          ,    1674.5 ,           ,     -27.1000 ,       2.5000 ,       2.5000 ,             
SPTpol_2017        ,          ,    1724.5 ,           ,     -25.0000 ,       2.1000 ,       2.1000 ,             
SPTpol_2017        ,          ,    1774.4 ,           ,     -13.6000 ,       1.8000 ,       1.8000 ,             
SPTpol_2017        ,          ,    1824.5 ,           ,      -6.5000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,    1874.5 ,           ,      -1.2000 ,       1.7000 ,       1.7000 ,             
SPTpol_2017        ,          ,    1924.5 ,           ,     -13.7000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,    1974.5 ,           ,     -19.5000 ,       1.6000 ,       1.6000 ,             
SPTpol_2017        ,          ,    2049.5 ,           ,     -15.3000 ,       1.0000 ,       1.0000 ,             
SPTpol_2017        ,          ,    2149.5 ,           ,      -4.0000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    2249.5 ,           ,      -4.8000 ,       0.8000 ,       0.8000 ,             
SPTpol_2017        ,          ,    2349.5 ,           ,      -7.5000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,    2449.5 ,           ,      -1.9000 ,       0.6000 ,       0.6000 ,             
SPTpol_2017        ,          ,    2549.5 ,           ,      -3.0000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2649.5 ,           ,      -4.8000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2749.5 ,           ,      -1.8000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2849.5 ,           ,      -1.9000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    2949.5 ,           ,      -2.2000 ,       0.5000 ,       0.5000 ,             
SPTpol_2017        ,          ,    3249.5 ,           ,      -0.4000 ,       0.2000 ,       0.2000 ,             
SPTpol_2017        ,          ,    3749.5 ,           ,      -0.7000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    4249.5 ,           ,      -0.0000 ,       0.3000 ,       0.3000 ,             
SPTpol_2017        ,          ,    4749.5 ,           ,       0.1000 ,       0.4000 ,       0.4000 ,             
SPTpol_2017        ,          ,    5499.5 ,           ,      -0.4000 ,       0.4000 ,       0.4000 ,             
SPTpol_2017        ,          ,    6499.5 ,           ,       0.5000 ,       0.7000 ,       0.7000 ,             
SPTpol_2017        ,          ,    7499.5 ,           ,      -0.0000 ,       1.0000 ,       1.0000 ,             
WMAP_2013          ,          ,       4.5 ,           ,       2.6500 ,       1.1200 ,       1.1200 ,             
WMAP_2013          ,          ,      10.5 ,           ,       0.3100 ,       1.5500 ,       1.5500 ,             
WMAP_2013          ,          ,      17.0 ,           ,       2.1000 ,       1.7100 ,       1.7100 ,             
WMAP_2013          ,          ,      22.5 ,           ,      -4.2000 ,       2.6500 ,       2.6500 ,             
WMAP_2013          ,          ,      27.5 ,           ,       4.8200 ,       2.4700 ,       2.4700 ,             
WMAP_2013          ,          ,      33.5 ,           ,      -0.1000 ,       2.8600 ,       2.8600 ,             
WMAP_2013          ,          ,      40.5 ,           ,       2.5700 ,       2.8700 ,       2.8700 ,             
WMAP_2013          ,          ,      48.5 ,           ,      -3.5200 ,       3.3500 ,       3.3500 ,             
WMAP_2013          ,          ,      56.5 ,           ,       0.3300 ,       3.8600 ,       3.8600 ,             
WMAP_2013          ,          ,      65.5 ,           ,      -2.5300 ,       3.9900 ,       3.9900 ,             
WMAP_2013          ,          ,      76.0 ,           ,      -9.4100 ,       4.4500 ,       4.4500 ,             
WMAP_2013          ,          ,      87.0 ,           ,     -15.5400 ,       5.1900 ,       5.1900 ,             
WMAP_2013          ,          ,      98.5 ,           ,     -19.9900 ,       5.7700 ,       5.7700 ,             
WMAP_2013          ,          ,     111.0 ,           ,     -31.9600 ,       6.4300 ,       6.4300 ,             
WMAP_2013          ,          ,     125.0 ,           ,     -41.6100 ,       6.9700 ,       6.9700 ,             
WMAP_2013          ,          ,     140.0 ,           ,     -49.9200 ,       8.0700 ,       8.0700 ,             
WMAP_2013          ,          ,     155.5 ,           ,     -35.9000 ,       8.9300 ,       8.9300 ,             
WMAP_2013          ,          ,     172.5 ,           ,     -55.3500 ,       9.6000 ,       9.6000 ,             
WMAP_2013          ,          ,     191.0 ,           ,     -38.6800 ,      10.5700 ,      10.5700 ,             
WMAP_2013          ,          ,     210.5 ,           ,       1.0600 ,      11.5200 ,      11.5200 ,             
WMAP_2013          ,          ,     231.0 ,           ,      20.6700 ,      12.4000 ,      12.4000 ,             
WMAP_2013          ,          ,     253.5 ,           ,      58.9800 ,      12.5900 ,      12.5900 ,             
WMAP_2013          ,          ,     278.0 ,           ,      98.7400 ,      13.0800 ,      13.0800 ,             
WMAP_2013          ,          ,     304.0 ,           ,     103.6000 ,      12.9600 ,      12.9600 ,             
WMAP_2013          ,          ,     332.5 ,           ,     111.4000 ,      12.3500 ,      12.3500 ,             
WMAP_2013          ,          ,     363.5 ,           ,      67.5900 ,      12.0300 ,      12.0300 ,             
WMAP_2013          ,          ,     397.5 ,           ,       2.1100 ,      12.2300 ,      12.2300 ,             
WMAP_2013          ,          ,     436.0 ,           ,     -80.4600 ,      14.0600 ,      14.0600 ,             
WMAP_2013          ,          ,     479.5 ,           ,     -56.3900 ,      17.8200 ,      17.8200 ,             
WMAP_2013          ,          ,     529.0 ,           ,     -55.5100 ,      23.1700 ,      23.1700 ,             
WMAP_2013          ,          ,     587.5 ,           ,      41.8700 ,      28.0800 ,      28.0800 ,             
WMAP_2013          ,          ,     659.0 ,           ,    -103.2500 ,      37.0500 ,      37.0500 ,             
WMAP_2013          ,          ,     749.5 ,           ,    -130.9100 ,      59.5100 ,      59.5100 ,             
WMAP_2013          ,          ,     850.5 ,           ,      85.7200 ,     113.8000 ,     113.8000 ,             
WMAP_2013          ,          ,     950.5 ,           ,      88.4900 ,     206.3200 ,     206.3200 ,             
