#Measurements of the CMB-only TT power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_Plik_lite   ,          ,     302.0 ,           ,    3933.8000 ,     100.3000 ,     100.3000 ,             
Planck_Plik_lite   ,          ,     311.0 ,           ,    3650.8999 ,      91.6000 ,      91.6000 ,             
Planck_Plik_lite   ,          ,     320.0 ,           ,    3411.0000 ,      83.2000 ,      83.2000 ,             
Planck_Plik_lite   ,          ,     329.0 ,           ,    3176.7000 ,      75.4000 ,      75.4000 ,             
Planck_Plik_lite   ,          ,     338.0 ,           ,    2844.6001 ,      68.1000 ,      68.1000 ,             
Planck_Plik_lite   ,          ,     347.0 ,           ,    2499.1001 ,      61.5000 ,      61.5000 ,             
Planck_Plik_lite   ,          ,     356.0 ,           ,    2359.3000 ,      55.6000 ,      55.6000 ,             
Planck_Plik_lite   ,          ,     365.0 ,           ,    2184.5000 ,      50.6000 ,      50.6000 ,             
Planck_Plik_lite   ,          ,     374.0 ,           ,    2039.5000 ,      46.5000 ,      46.5000 ,             
Planck_Plik_lite   ,          ,     383.0 ,           ,    1893.0000 ,      43.1000 ,      43.1000 ,             
Planck_Plik_lite   ,          ,     392.0 ,           ,    1787.9000 ,      40.8000 ,      40.8000 ,             
Planck_Plik_lite   ,          ,     401.0 ,           ,    1733.1000 ,      39.1000 ,      39.1000 ,             
Planck_Plik_lite   ,          ,     410.0 ,           ,    1739.6000 ,      38.2000 ,      38.2000 ,             
Planck_Plik_lite   ,          ,     419.0 ,           ,    1729.8000 ,      38.0000 ,      38.0000 ,             
Planck_Plik_lite   ,          ,     428.0 ,           ,    1769.2000 ,      38.3000 ,      38.3000 ,             
Planck_Plik_lite   ,          ,     437.0 ,           ,    1770.1000 ,      39.0000 ,      39.0000 ,             
Planck_Plik_lite   ,          ,     446.0 ,           ,    1856.9000 ,      40.1000 ,      40.1000 ,             
Planck_Plik_lite   ,          ,     455.0 ,           ,    2046.1000 ,      41.4000 ,      41.4000 ,             
Planck_Plik_lite   ,          ,     464.0 ,           ,    2224.6001 ,      42.8000 ,      42.8000 ,             
Planck_Plik_lite   ,          ,     473.0 ,           ,    2178.8999 ,      44.2000 ,      44.2000 ,             
Planck_Plik_lite   ,          ,     482.0 ,           ,    2324.8999 ,      45.5000 ,      45.5000 ,             
Planck_Plik_lite   ,          ,     491.0 ,           ,    2419.8000 ,      46.7000 ,      46.7000 ,             
Planck_Plik_lite   ,          ,     500.0 ,           ,    2447.7000 ,      47.8000 ,      47.8000 ,             
Planck_Plik_lite   ,          ,     509.0 ,           ,    2580.0000 ,      48.4000 ,      48.4000 ,             
Planck_Plik_lite   ,          ,     518.0 ,           ,    2557.3000 ,      48.8000 ,      48.8000 ,             
Planck_Plik_lite   ,          ,     527.0 ,           ,    2581.8000 ,      49.0000 ,      49.0000 ,             
Planck_Plik_lite   ,          ,     536.0 ,           ,    2523.7000 ,      48.8000 ,      48.8000 ,             
Planck_Plik_lite   ,          ,     545.0 ,           ,    2519.6001 ,      48.1000 ,      48.1000 ,             
Planck_Plik_lite   ,          ,     554.0 ,           ,    2564.1001 ,      47.4000 ,      47.4000 ,             
Planck_Plik_lite   ,          ,     563.0 ,           ,    2545.2000 ,      46.2000 ,      46.2000 ,             
Planck_Plik_lite   ,          ,     572.0 ,           ,    2413.7000 ,      44.9000 ,      44.9000 ,             
Planck_Plik_lite   ,          ,     581.0 ,           ,    2409.5000 ,      43.4000 ,      43.4000 ,             
Planck_Plik_lite   ,          ,     590.0 ,           ,    2373.2000 ,      41.8000 ,      41.8000 ,             
Planck_Plik_lite   ,          ,     599.0 ,           ,    2206.1001 ,      40.2000 ,      40.2000 ,             
Planck_Plik_lite   ,          ,     608.0 ,           ,    2118.8000 ,      38.5000 ,      38.5000 ,             
Planck_Plik_lite   ,          ,     617.0 ,           ,    2136.2000 ,      36.9000 ,      36.9000 ,             
Planck_Plik_lite   ,          ,     626.0 ,           ,    1953.4000 ,      35.4000 ,      35.4000 ,             
Planck_Plik_lite   ,          ,     635.0 ,           ,    1937.7000 ,      34.1000 ,      34.1000 ,             
Planck_Plik_lite   ,          ,     644.0 ,           ,    1857.6000 ,      32.9000 ,      32.9000 ,             
Planck_Plik_lite   ,          ,     653.0 ,           ,    1848.9000 ,      32.1000 ,      32.1000 ,             
Planck_Plik_lite   ,          ,     662.0 ,           ,    1849.7000 ,      31.4000 ,      31.4000 ,             
Planck_Plik_lite   ,          ,     671.0 ,           ,    1814.8000 ,      31.0000 ,      31.0000 ,             
Planck_Plik_lite   ,          ,     680.0 ,           ,    1761.0000 ,      30.8000 ,      30.8000 ,             
Planck_Plik_lite   ,          ,     689.0 ,           ,    1822.5000 ,      30.9000 ,      30.9000 ,             
Planck_Plik_lite   ,          ,     698.0 ,           ,    1887.0000 ,      31.3000 ,      31.3000 ,             
Planck_Plik_lite   ,          ,     707.0 ,           ,    1891.3000 ,      31.8000 ,      31.8000 ,             
Planck_Plik_lite   ,          ,     716.0 ,           ,    1909.2000 ,      32.4000 ,      32.4000 ,             
Planck_Plik_lite   ,          ,     725.0 ,           ,    1996.2000 ,      33.3000 ,      33.3000 ,             
Planck_Plik_lite   ,          ,     734.0 ,           ,    2051.3000 ,      34.2000 ,      34.2000 ,             
Planck_Plik_lite   ,          ,     743.0 ,           ,    2181.3999 ,      35.1000 ,      35.1000 ,             
Planck_Plik_lite   ,          ,     752.0 ,           ,    2258.6001 ,      36.1000 ,      36.1000 ,             
Planck_Plik_lite   ,          ,     761.0 ,           ,    2344.8000 ,      37.0000 ,      37.0000 ,             
Planck_Plik_lite   ,          ,     770.0 ,           ,    2348.2000 ,      37.7000 ,      37.7000 ,             
Planck_Plik_lite   ,          ,     779.0 ,           ,    2351.7000 ,      38.4000 ,      38.4000 ,             
Planck_Plik_lite   ,          ,     788.0 ,           ,    2483.3000 ,      38.8000 ,      38.8000 ,             
Planck_Plik_lite   ,          ,     797.0 ,           ,    2469.0000 ,      39.1000 ,      39.1000 ,             
Planck_Plik_lite   ,          ,     806.0 ,           ,    2495.1001 ,      39.3000 ,      39.3000 ,             
Planck_Plik_lite   ,          ,     815.0 ,           ,    2552.3999 ,      39.1000 ,      39.1000 ,             
Planck_Plik_lite   ,          ,     824.0 ,           ,    2520.8000 ,      38.8000 ,      38.8000 ,             
Planck_Plik_lite   ,          ,     833.0 ,           ,    2494.2000 ,      38.3000 ,      38.3000 ,             
Planck_Plik_lite   ,          ,     842.0 ,           ,    2504.6001 ,      37.4000 ,      37.4000 ,             
Planck_Plik_lite   ,          ,     851.0 ,           ,    2385.8000 ,      36.4000 ,      36.4000 ,             
Planck_Plik_lite   ,          ,     860.0 ,           ,    2353.3000 ,      35.3000 ,      35.3000 ,             
Planck_Plik_lite   ,          ,     869.0 ,           ,    2234.2000 ,      33.9000 ,      33.9000 ,             
Planck_Plik_lite   ,          ,     878.0 ,           ,    2167.8999 ,      32.5000 ,      32.5000 ,             
Planck_Plik_lite   ,          ,     887.0 ,           ,    2075.7000 ,      30.9000 ,      30.9000 ,             
