#Results from experiments with detections of B-mode power, l(l+1)C_l/2pi, in uK^2.
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
QUIET-W            ,       26 ,      50.5 ,        75 ,              ,              ,              ,        0.190
QUIET-W            ,       76 ,     100.5 ,       125 ,              ,              ,              ,        0.550
QUIET-W            ,      126 ,     150.5 ,       175 ,              ,              ,              ,        0.230
QUIET-W            ,      176 ,     200.5 ,       225 ,              ,              ,              ,        1.090
QUIET-W            ,      226 ,     250.5 ,       275 ,              ,              ,              ,        0.520
QUIET-W            ,      276 ,     300.5 ,       325 ,              ,              ,              ,        1.000
QUIET-W            ,      326 ,     350.5 ,       375 ,              ,              ,              ,        1.500
QUIET-W            ,      376 ,     400.5 ,       425 ,              ,              ,              ,        2.500
QUIET-W            ,      426 ,     450.5 ,       475 ,              ,              ,              ,        4.400
QUIET-W            ,      476 ,     500.5 ,       525 ,              ,              ,              ,        4.000
QUIET-W            ,      526 ,     550.5 ,       575 ,              ,              ,              ,        9.200
QUIET-W            ,      576 ,     600.5 ,       625 ,              ,              ,              ,       10.500
QUIET-W            ,      626 ,     650.5 ,       675 ,              ,              ,              ,       18.300
QUIET-W            ,      676 ,     700.5 ,       725 ,              ,              ,              ,       18.000
QUIET-W            ,      726 ,     750.5 ,       775 ,              ,              ,              ,       17.000
QUIET-W            ,      776 ,     800.5 ,       825 ,              ,              ,              ,       31.000
QUIET-W            ,      826 ,     850.5 ,       875 ,              ,              ,              ,       44.000
QUIET-W            ,      876 ,     900.5 ,       925 ,              ,              ,              ,       93.000
QUIET-W            ,      926 ,     950.5 ,       975 ,              ,              ,              ,       44.000
SPTpol             ,       52 ,     102.0 ,       151 ,       0.0040 ,       0.0140 ,       0.0140 ,        0.032
SPTpol             ,     1902 ,    2102.0 ,      2301 ,       0.0640 ,       0.0600 ,       0.0600 ,        0.184
WMAP               ,        2 ,       4.5 ,         7 ,              ,              ,              ,        0.055
WMAP               ,        8 ,      15.5 ,        23 ,              ,              ,              ,        0.113
WMAP               ,       24 ,      36.5 ,        49 ,              ,              ,              ,        0.432
WMAP               ,       50 ,      74.5 ,        99 ,              ,              ,              ,        0.299
WMAP               ,      100 ,     124.5 ,       149 ,              ,              ,              ,        0.817
WMAP               ,      150 ,     174.5 ,       199 ,              ,              ,              ,        1.377
WMAP               ,      200 ,     224.5 ,       249 ,              ,              ,              ,        2.849
WMAP               ,      250 ,     274.5 ,       299 ,              ,              ,              ,        4.677
WMAP               ,      300 ,     324.5 ,       349 ,              ,              ,              ,        9.047
WMAP               ,      350 ,     374.5 ,       399 ,              ,              ,              ,       21.881
WMAP               ,      400 ,     424.5 ,       449 ,              ,              ,              ,       26.444
WMAP               ,      450 ,     474.5 ,       499 ,              ,              ,              ,       33.004
WMAP               ,      500 ,     549.5 ,       599 ,              ,              ,              ,       41.567
WMAP               ,      600 ,     674.5 ,       749 ,              ,              ,              ,       95.277
WMAP               ,      750 ,     824.5 ,       899 ,              ,              ,              ,      276.662
WMAP               ,      900 ,     962.0 ,      1024 ,              ,              ,              ,      711.835
