#Measurements of the TE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
SPT-3G_2021        ,          ,    2349.0 ,           ,      -9.2000 ,       0.8000 ,       0.8000 ,             
SPT-3G_2021        ,          ,    2450.0 ,           ,      -3.6000 ,       0.8000 ,       0.8000 ,             
SPT-3G_2021        ,          ,    2549.0 ,           ,      -3.7000 ,       0.8000 ,       0.8000 ,             
SPT-3G_2021        ,          ,    2649.0 ,           ,      -3.5000 ,       0.8000 ,       0.8000 ,             
SPT-3G_2021        ,          ,    2749.0 ,           ,      -2.1000 ,       0.8000 ,       0.8000 ,             
SPT-3G_2021        ,          ,    2849.0 ,           ,      -0.5000 ,       0.8000 ,       0.8000 ,             
SPT-3G_2021        ,          ,    2949.0 ,           ,      -2.3000 ,       0.8000 ,       0.8000 ,             
 WMAP_2013         ,          ,       4.5 ,           ,       2.6500 ,       1.1200 ,       1.1200 ,             
 WMAP_2013         ,          ,      10.5 ,           ,       0.3100 ,       1.5500 ,       1.5500 ,             
 WMAP_2013         ,          ,      17.0 ,           ,       2.1000 ,       1.7100 ,       1.7100 ,             
 WMAP_2013         ,          ,      22.5 ,           ,      -4.2000 ,       2.6500 ,       2.6500 ,             
 WMAP_2013         ,          ,      27.5 ,           ,       4.8200 ,       2.4700 ,       2.4700 ,             
 WMAP_2013         ,          ,      33.5 ,           ,      -0.1000 ,       2.8600 ,       2.8600 ,             
 WMAP_2013         ,          ,      40.5 ,           ,       2.5700 ,       2.8700 ,       2.8700 ,             
 WMAP_2013         ,          ,      48.5 ,           ,      -3.5200 ,       3.3500 ,       3.3500 ,             
 WMAP_2013         ,          ,      56.5 ,           ,       0.3300 ,       3.8600 ,       3.8600 ,             
 WMAP_2013         ,          ,      65.5 ,           ,      -2.5300 ,       3.9900 ,       3.9900 ,             
 WMAP_2013         ,          ,      76.0 ,           ,      -9.4100 ,       4.4500 ,       4.4500 ,             
 WMAP_2013         ,          ,      87.0 ,           ,     -15.5400 ,       5.1900 ,       5.1900 ,             
 WMAP_2013         ,          ,      98.5 ,           ,     -19.9900 ,       5.7700 ,       5.7700 ,             
 WMAP_2013         ,          ,     111.0 ,           ,     -31.9600 ,       6.4300 ,       6.4300 ,             
 WMAP_2013         ,          ,     125.0 ,           ,     -41.6100 ,       6.9700 ,       6.9700 ,             
 WMAP_2013         ,          ,     140.0 ,           ,     -49.9200 ,       8.0700 ,       8.0700 ,             
 WMAP_2013         ,          ,     155.5 ,           ,     -35.9000 ,       8.9300 ,       8.9300 ,             
 WMAP_2013         ,          ,     172.5 ,           ,     -55.3500 ,       9.6000 ,       9.6000 ,             
 WMAP_2013         ,          ,     191.0 ,           ,     -38.6800 ,      10.5700 ,      10.5700 ,             
