#Measurements of the EE power spectrum, power is l(l+1) C_l / 2pi in uK^2
#
   Experiment      ,    l_min ,  l_center ,     l_max ,       Power  ,  Sigma_minus ,   Sigma_plus ,    Upper Limit
Planck_2018        ,          ,      29.0 ,           ,      -0.0000 ,       0.0240 ,       0.0240 ,             
Planck_2018        ,          ,      47.7 ,           ,       0.1210 ,       0.0180 ,       0.0180 ,             
Planck_2018        ,          ,      76.5 ,           ,       0.4220 ,       0.0270 ,       0.0270 ,             
Planck_2018        ,          ,     105.9 ,           ,       0.8490 ,       0.0390 ,       0.0390 ,             
Planck_2018        ,          ,     135.6 ,           ,       1.0920 ,       0.0480 ,       0.0480 ,             
Planck_2018        ,          ,     165.4 ,           ,       0.9880 ,       0.0520 ,       0.0520 ,             
Planck_2018        ,          ,     195.3 ,           ,       0.7920 ,       0.0560 ,       0.0560 ,             
Planck_2018        ,          ,     225.2 ,           ,       1.0890 ,       0.0690 ,       0.0690 ,             
Planck_2018        ,          ,     255.1 ,           ,       2.9000 ,       0.1020 ,       0.1020 ,             
Planck_2018        ,          ,     285.0 ,           ,       6.5870 ,       0.1580 ,       0.1580 ,             
Planck_2018        ,          ,     315.0 ,           ,      11.8610 ,       0.2310 ,       0.2310 ,             
Planck_2018        ,          ,     344.9 ,           ,      16.8840 ,       0.3020 ,       0.3020 ,             
Planck_2018        ,          ,     374.9 ,           ,      20.2810 ,       0.3510 ,       0.3510 ,             
Planck_2018        ,          ,     404.9 ,           ,      21.1600 ,       0.3650 ,       0.3650 ,             
Planck_2018        ,          ,     434.8 ,           ,      18.8810 ,       0.3440 ,       0.3440 ,             
Planck_2018        ,          ,     464.8 ,           ,      13.9490 ,       0.3090 ,       0.3090 ,             
Planck_2018        ,          ,     494.8 ,           ,       9.7910 ,       0.2770 ,       0.2770 ,             
Planck_2018        ,          ,     524.8 ,           ,       6.9390 ,       0.2430 ,       0.2430 ,             
Planck_2018        ,          ,     554.8 ,           ,       9.2800 ,       0.2820 ,       0.2820 ,             
